Ticker,CIEN,CIEN,CIEN,CIEN,CIEN,FRES.L,FRES.L,FRES.L,FRES.L,FRES.L,MU,MU,MU,MU,MU,TER,TER,TER,TER,TER,WDC,WDC,WDC,WDC,WDC
Price,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-11,242.369995,248.0,222.449997,236.350006,8607300.0,2858.0,2910.0,2718.0,2768.0,3768984.0,258.355621,262.743863,251.448423,261.424389,18867000.0,203.970001,204.029999,195.979996,201.139999,2507100.0,187.199997,188.770004,173.449997,176.820007,7468900.0
2025-12-12,218.440002,237.910004,215.179993,236.0,4664500.0,2904.0,3034.0,2862.0,2922.0,727127.0,241.042618,255.716697,239.223361,255.566749,25936900.0,193.369995,202.289993,191.850006,201.309998,4163300.0,176.339996,185.820007,170.020004,184.339996,9677900.0
2025-12-15,216.179993,226.020004,215.600006,220.839996,2686500.0,2856.0,3026.0,2822.0,2952.0,1279265.0,237.404099,250.009007,235.904704,247.010219,27483600.0,194.699997,200.490005,193.550003,199.910004,3223300.0,172.039993,180.979996,171.820007,178.289993,5781900.0
2025-12-16,209.839996,215.440002,206.539993,214.460007,2727100.0,2924.0,2954.0,2783.566895,2832.0,875011.0,232.416107,239.303324,230.486894,235.704787,22577300.0,192.289993,195.380005,189.139999,194.399994,3711500.0,174.580002,177.380005,170.740005,172.080002,5857000.0
2025-12-17,203.899994,215.699997,201.699997,212.850006,2365600.0,2952.0,3044.0,2952.0,3000.0,804598.0,225.42894,237.354115,221.600485,236.464475,41957100.0,185.210007,194.570007,182.160004,194.0,3577500.0,166.259995,181.669998,165.470001,179.899994,6693100.0
2025-12-18,210.710007,215.470001,209.0,212.0,3057100.0,3082.0,3082.0,2914.0,2970.0,1002760.0,248.449631,263.543524,244.901061,256.426404,65006100.0,190.449997,195.080002,189.270004,192.5,2754700.0,175.009995,181.490005,174.429993,174.800003,9147100.0
2025-12-19,230.339996,231.350006,212.419998,212.740005,4528300.0,3170.0,3170.0,3032.0,3056.0,3255771.0,265.812622,268.27162,251.648331,251.648331,62312100.0,195.179993,196.490005,191.509995,191.940002,7880500.0,181.080002,185.270004,175.679993,176.830002,36269600.0
2025-12-22,236.75,239.380005,230.399994,235.0,2811400.0,3260.0,3288.0,3200.0,3214.0,945215.0,276.478302,279.876923,268.181666,277.038073,30961900.0,197.220001,202.0,196.910004,201.050003,2756500.0,176.759995,187.179993,171.850006,186.470001,8685200.0
2025-12-23,240.289993,243.0,234.75,234.75,1802100.0,3246.0,3288.0,3207.428955,3232.0,687149.0,276.158417,281.746156,272.21003,275.808583,20767600.0,198.5,199.320007,195.610001,196.139999,1344900.0,178.25,178.399994,174.5,175.520004,3721100.0
2025-12-24,240.279999,242.0,237.929993,240.589996,833200.0,3200.0,3276.0,3200.0,3266.0,256322.0,286.56424,289.183177,277.138054,277.887752,18592600.0,198.529999,199.630005,197.289993,198.5,713100.0,179.559998,182.550003,177.779999,179.210007,3067000.0
2025-12-26,241.679993,242.509995,238.429993,240.899994,946900.0,,,,,,284.675018,290.75255,283.305576,290.722563,17878500.0,198.899994,199.470001,196.729996,199.25,1247800.0,181.539993,182.520004,178.190002,182.309998,3351600.0
2025-12-29,239.0,241.229996,230.130005,237.259995,1755600.0,3194.0,3376.0,3092.0,3264.0,1008666.0,294.369995,294.5,278.5,280.329987,26642900.0,197.360001,199.089996,195.600006,196.710007,1717900.0,179.679993,184.770004,176.699997,179.0,3906300.0
2025-12-30,238.360001,240.5,236.830002,240.169998,1163000.0,3412.0,3412.0,3272.800049,3274.0,675197.0,292.630005,298.829987,292.01001,294.700012,23056400.0,196.669998,198.199997,195.0,198.009995,1989400.0,176.059998,181.460007,175.259995,180.270004,6008000.0
2025-12-31,233.869995,239.899994,232.410004,239.080002,1170200.0,3334.0,3360.0,3282.0,3360.0,352263.0,285.410004,293.170013,284.179993,293.170013,17573800.0,193.559998,198.300003,193.399994,197.770004,1193900.0,172.270004,177.0,171.259995,176.770004,3552200.0
2026-01-02,246.059998,248.5,237.619995,241.0,1985000.0,3352.0,3514.0,3352.0,3374.0,900074.0,315.420013,315.600006,294.859985,295.130005,42604300.0,207.559998,208.809998,199.259995,199.289993,3224100.0,187.699997,187.770004,176.699997,177.199997,6808300.0
2026-01-05,230.899994,252.600006,223.270004,250.339996,3215900.0,3496.0,3568.0,3438.0,3452.0,1609843.0,312.149994,325.529999,309.549988,325.130005,34608600.0,219.5,222.0,211.800003,211.850006,4271600.0,187.880005,195.860001,182.800003,193.169998,9826700.0
